id	created_at	text	is_retweet	retweet_created_at	retweet_count	user_id	user_name	user_screen_name	user_created_at	user_followers_count	user_statuses_count	user_location	user_desc
1056981962626338816	Mon Oct 29 18:51:52 +0000 2018	The pathological liar at the White House podium just said Trump was elected by “an overwhelming majority of voters.… https://t.co/lkbvXmfSkJ	0		17427	158426909	Lawrence O'Donnell	Lawrence	Tue Jun 22 17:22:48 +0000 2010	2477167	24250	New York, NY		
1057057845013823488	Mon Oct 29 23:53:24 +0000 2018	WOWZA. Check out this cease and desist sent by Pharrell Williams to Donald Trump for using “Happy” on “the day of t… https://t.co/bDrFmT8XDk	0		19976	89200008	Eriq Gardner	eriqgardner	Wed Nov 11 14:48:16 +0000 2009	8520	10126	New York	Senior Editor, The Hollywood Reporter. @THREsq. Focused on the complicated side. New Yorker, but life-long Rams fan. Northwestern University.	
1057256706537897984	Tue Oct 30 13:03:36 +0000 2018	TRUMP: I've decided to eat babies.PEOPLE: He can't eat babies, that's super illegal.TRUMP, on TV, eating ba… https://t.co/xTEkEHsPEw	0		10626	26029878	Chuck Wendig	ChuckWendig	Mon Mar 23 16:10:29 +0000 2009	136245	266416	Pennsyltucky, PA	NYT-bestselling beehive. Miriam Black | Zer0es | Invasive | Star Wars | Damn Fine Story | Sundance Screenwriters Lab | Wanderers in 2019 | Insufferable | NSFW	
1057495526655098881	Wed Oct 31 04:52:35 +0000 2018	RT @TeaPainUSA: #ThatAwkwardMoment when the GOP accuses Democrats of hatin’ the Constitution the same day Trump promises to nullify the 14t…	1	Wed Oct 31 04:30:38 +0000 2018	232	801256698534989824	Anton Novak	ant0n_n0vak	Wed Nov 23 02:50:58 +0000 2016	2679	45071	Michigan, USA	Life, liberty, and the pursuit of happiness. #Resist #TheResistance #FBR	
1057495526600568832	Wed Oct 31 04:52:35 +0000 2018	RT @kimguilfoyle: Trump Jr. and Guilfoyle release new ad blasting 'mainstream media and liberal mob' https://t.co/ag2XbfILfS	1	Tue Oct 30 20:31:11 +0000 2018	809	997266089737240578	Steve  K.  Espinoza	SteveKEspinoza2	Fri May 18 00:02:18 +0000 2018	3496	57869			
1057495526403379200	Wed Oct 31 04:52:35 +0000 2018	@burr_brady @realDonaldTrFan So if you can't trust the news and I have to be honest I don't trust Trump. How do we… https://t.co/XSScGJ5Qgn	0		0	2471672042	vince monhollen	america4truth18	Thu May 01 00:12:07 +0000 2014	10	369		Love your country question politicians.	
1057495525858127872	Wed Oct 31 04:52:35 +0000 2018	RT @PamKeithFL: Hey South Florida Cubans! Did you see that Trump wants to revoke the citizenship of your kids? I know many of you are activ…	1	Tue Oct 30 11:43:39 +0000 2018	1995	208645127	Petty J. Blige	JessThaRuthless	Wed Oct 27 17:12:26 +0000 2010	531	126886	Nation of The Fuckless.	Fuck em, we write  ||Co-Host of Not That Deep Podcast||   https://t.co/chfxMI2tWs	
1057495525665267713	Wed Oct 31 04:52:35 +0000 2018	RT @ACTforAmerica: What do you think about the possibility of President Trump ending birthright citizenship?	1	Tue Oct 30 15:19:49 +0000 2018	521	97500472	Yvonne Meek	vonnimeek	Thu Dec 17 18:40:57 +0000 2009	314	2640	Colorado	singer/songwriter	
1057495525346418688	Wed Oct 31 04:52:35 +0000 2018	LOL I got news for you son, that base left for Trump long ago. https://t.co/cYu83jUjp4	0		0	246590464	Jason Willoughby 🏅	jpwilloughby	Thu Feb 03 02:18:18 +0000 2011	1871	221670	A bunker in middle America	You bringing up my fans or my legacy is a tactic based on fear to manipulate my free thought.	
1057495525262528512	Wed Oct 31 04:52:35 +0000 2018	@Rosie And fuck trump!	0		0	4707558686	Donna Salmans🌊🌊🌛🌕🌜	donna_salmans	Mon Jan 04 07:25:07 +0000 2016	202	1052	Arizona, USA	Politically active, Pagan grandma.#RESISTANCE	
1057495525128314880	Wed Oct 31 04:52:35 +0000 2018	RT @natsecaction: For example, Trump's DHS halted a $400,000 grant to Life After Hate, one of the only groups dedicated to helping people l…	1	Tue Oct 30 15:03:22 +0000 2018	21	2319313106	Les Rhoads	LesRhoads	Thu Jan 30 17:54:51 +0000 2014	6168	49131	Bremerton WA	Seahawks Fan, liberal til the day I die. #Resistance I've been on the left my whole life. native Tlingit.retweets of Hannity be accompanied by mocking	
1057495524734132225	Wed Oct 31 04:52:35 +0000 2018	@rbgrigorian Just saw your reply was to my comment about supporting President Trump. He is not a racist, and most racists are leftist.	0		0	789183498175156225	R-men	Fyt4Good	Thu Oct 20 19:16:23 +0000 2016	22	1682	Shitty LA, USA	Miss the 1980s	
1057495524524343297	Wed Oct 31 04:52:35 +0000 2018	RT @MichaelAvenatti: I was informed this afternoon by the FBI that I was targeted by Cesar Sayoc. I applaud the hard working men and women…	1	Tue Oct 30 23:41:45 +0000 2018	5558	953242675	Jo Ga	JoergBS	Sat Nov 17 09:20:20 +0000 2012	159	51295	Rheinland-Pfalz, Deutschland	just me. IT-Supporter & Fan of Scifi and Crime SeriesJust a Human Being with Friends all over the world	
